,IS2_file,S1_id,start_date,end_date,track,cycle
39,ATL10-02_20191005125113_01320501_005_02.h5,COPERNICUS/S2_SR/20191005T125909_20191005T125905_T21DWE,10/5/2019,10/6/2019,132,5
40,ATL10-02_20191005125113_01320501_005_02.h5,COPERNICUS/S2_SR/20191005T125909_20191005T125905_T21DXG,10/5/2019,10/6/2019,132,5
41,ATL10-02_20191005125113_01320501_005_02.h5,COPERNICUS/S2_SR/20191005T125909_20191005T125905_T21EXK,10/5/2019,10/6/2019,132,5
42,ATL10-02_20191005125113_01320501_005_02.h5,COPERNICUS/S2_SR/20191005T125909_20191005T125905_T22ECQ,10/5/2019,10/6/2019,132,5
43,ATL10-02_20191010104255_02070501_005_02.h5,COPERNICUS/S2_SR/20191010T103159_20191010T103154_T25CER,10/10/2019,10/11/2019,207,5
44,ATL10-02_20191010104255_02070501_005_02.h5,COPERNICUS/S2_SR/20191010T103159_20191010T103154_T26CMA,10/10/2019,10/11/2019,207,5
45,ATL10-02_20191011101716_02220501_005_02.h5,COPERNICUS/S2_SR/20191011T100059_20191011T100104_T26CNB,10/11/2019,10/12/2019,222,5
46,ATL10-02_20191011101716_02220501_005_02.h5,COPERNICUS/S2_SR/20191011T100059_20191011T100104_T27CVR,10/11/2019,10/12/2019,222,5
47,ATL10-02_20191011101716_02220501_005_02.h5,COPERNICUS/S2_SR/20191011T100059_20191011T100104_T27CVS,10/11/2019,10/12/2019,222,5
48,ATL10-02_20191011101716_02220501_005_02.h5,COPERNICUS/S2_SR/20191011T100059_20191011T100104_T27CVT,10/11/2019,10/12/2019,222,5
49,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T27CWR,10/12/2019,10/13/2019,237,5
50,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T27CWS,10/12/2019,10/13/2019,237,5
51,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T27CWT,10/12/2019,10/13/2019,237,5
52,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T27CWU,10/12/2019,10/13/2019,237,5
53,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T27CXV,10/12/2019,10/13/2019,237,5
54,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T28CDB,10/12/2019,10/13/2019,237,5
55,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T28CDC,10/12/2019,10/13/2019,237,5
56,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T28CDD,10/12/2019,10/13/2019,237,5
57,ATL10-02_20191012095138_02370501_005_02.h5,COPERNICUS/S2_SR/20191012T093019_20191012T093013_T28CDE,10/12/2019,10/13/2019,237,5
58,ATL10-02_20191013092558_02520501_005_02.h5,COPERNICUS/S2_SR/20191013T085959_20191013T085958_T27CWT,10/13/2019,10/14/2019,252,5
59,ATL10-02_20191013092558_02520501_005_02.h5,COPERNICUS/S2_SR/20191013T085959_20191013T085958_T28CDC,10/13/2019,10/14/2019,252,5
60,ATL10-02_20191013092558_02520501_005_02.h5,COPERNICUS/S2_SR/20191013T085959_20191013T085958_T28CEC,10/13/2019,10/14/2019,252,5
