,IS2_file,S1_id,start_date,end_date,track,cycle
98,ATL10-02_20211221144038_13771301_005_01.h5,COPERNICUS/S2_SR/20211221T154309_20211221T154310_T12CVC,12/21/2021,12/22/2021,1377,13
99,ATL10-02_20211221144038_13771301_005_01.h5,COPERNICUS/S2_SR/20211221T154309_20211221T154310_T12CWA,12/21/2021,12/22/2021,1377,13
100,ATL10-02_20211222141458_00051401_005_01.h5,COPERNICUS/S2_SR/20211222T151259_20211222T151254_T13CDR,12/22/2021,12/23/2021,5,14
101,ATL10-02_20211222141458_00051401_005_01.h5,COPERNICUS/S2_SR/20211222T151259_20211222T151254_T13CDS,12/22/2021,12/23/2021,5,14
102,ATL10-02_20211222141458_00051401_005_01.h5,COPERNICUS/S2_SR/20211222T151259_20211222T151254_T13CDT,12/22/2021,12/23/2021,5,14
103,ATL10-02_20211222141458_00051401_005_01.h5,COPERNICUS/S2_SR/20211222T151259_20211222T151254_T13CDU,12/22/2021,12/23/2021,5,14
104,ATL10-02_20211223152336_00211401_005_01.h5,COPERNICUS/S2_SR/20211223T162339_20211223T162340_T10CDC,12/23/2021,12/24/2021,21,14
105,ATL10-02_20211225143218_00511401_005_01.h5,COPERNICUS/S2_SR/20211225T152259_20211225T152259_T12CVA,12/25/2021,12/26/2021,51,14
106,ATL10-02_20211225143218_00511401_005_01.h5,COPERNICUS/S2_SR/20211225T152259_20211225T152259_T12CVB,12/25/2021,12/26/2021,51,14
107,ATL10-02_20211226140638_00661401_005_01.h5,COPERNICUS/S2_SR/20211226T145249_20211226T145423_T13CDR,12/26/2021,12/27/2021,66,14
108,ATL10-02_20211226140638_00661401_005_01.h5,COPERNICUS/S2_SR/20211226T145249_20211226T145423_T13CDS,12/26/2021,12/27/2021,66,14
