,IS2_file,S1_id,start_date,end_date,track,cycle
68,ATL10-02_20211209194832_11971301_005_01.h5,COPERNICUS/S2_SR/20211209T200529_20211209T200526_T60CWD,12/9/2021,12/10/2021,1197,13
69,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184454_T02CNV,12/15/2021,12/16/2021,1288,13
70,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184454_T03CVQ,12/15/2021,12/16/2021,1288,13
71,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184639_T02CNT,12/15/2021,12/16/2021,1288,13
72,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184639_T02CNV,12/15/2021,12/16/2021,1288,13
73,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184639_T03CVN,12/15/2021,12/16/2021,1288,13
74,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184639_T03CVP,12/15/2021,12/16/2021,1288,13
75,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184639_T03CVQ,12/15/2021,12/16/2021,1288,13
76,ATL10-02_20211215184852_12881301_005_01.h5,COPERNICUS/S2_SR/20211215T184459_20211215T184639_T03CVR,12/15/2021,12/16/2021,1288,13
77,ATL10-02_20211217175734_13181301_005_01.h5,COPERNICUS/S2_SR/20211217T174429_20211217T174426_T04CET,12/17/2021,12/18/2021,1318,13
78,ATL10-02_20211217175734_13181301_005_01.h5,COPERNICUS/S2_SR/20211217T174429_20211217T174426_T04CEU,12/17/2021,12/18/2021,1318,13
79,ATL10-02_20211217175734_13181301_005_01.h5,COPERNICUS/S2_SR/20211217T174429_20211217T174426_T04CEV,12/17/2021,12/18/2021,1318,13
80,ATL10-02_20211217175734_13181301_005_01.h5,COPERNICUS/S2_SR/20211217T174429_20211217T174426_T05CMN,12/17/2021,12/18/2021,1318,13
81,ATL10-02_20211217175734_13181301_005_01.h5,COPERNICUS/S2_SR/20211217T174429_20211217T174426_T05CMP,12/17/2021,12/18/2021,1318,13
82,ATL10-02_20211217175734_13181301_005_01.h5,COPERNICUS/S2_SR/20211217T174429_20211217T174426_T05CMQ,12/17/2021,12/18/2021,1318,13
83,ATL10-02_20211218173154_13331301_005_01.h5,COPERNICUS/S2_SR/20211218T171359_20211218T171358_T06CVT,12/18/2021,12/19/2021,1333,13
84,ATL10-02_20211219170614_13481301_005_01.h5,COPERNICUS/S2_SR/20211219T164349_20211219T164346_T06CWT,12/19/2021,12/20/2021,1348,13
85,ATL10-02_20211219170614_13481301_005_01.h5,COPERNICUS/S2_SR/20211219T164349_20211219T164346_T07CDN,12/19/2021,12/20/2021,1348,13
86,ATL10-02_20211230184110_01301401_005_01.h5,COPERNICUS/S2_SR/20211230T193519_20211230T193545_T01CDQ,12/30/2021,12/31/2021,130,14
87,ATL10-02_20220107165015_02511401_005_01.h5,COPERNICUS/S2_SR/20220107T171359_20220107T171400_T05CMN,1/7/2022,1/8/2022,251,14
88,ATL10-02_20220107165015_02511401_005_01.h5,COPERNICUS/S2_SR/20220107T171359_20220107T171400_T05CMP,1/7/2022,1/8/2022,251,14
89,ATL10-02_20220111181613_03131401_005_01.h5,COPERNICUS/S2_SR/20220111T183459_20220111T183458_T01CDP,1/11/2022,1/12/2022,313,14
90,ATL10-02_20220112161616_03271401_005_01.h5,COPERNICUS/S2_SR/20220112T162339_20220112T162341_T06CVT,1/12/2022,1/13/2022,327,14
